评论者昵称,评论内容,cleaned_content,segmented_content,情感分析结果,解析
不要小瞧了兔子,阿空这下我真要好好夸你了,阿空这下我真要好好夸你了,阿空 这下 真要 好好,1,评论中使用了“好好夸你”这一积极表达，带有明显的赞赏和鼓励意味，整体情感倾向为正面。
耀咪在哪里,哇哇哇空子终于来河南力,哇空子终于来河南力,空子 终于 河南,1,评论中使用了“哇”这一感叹词表达惊喜，加上“终于”一词体现出期待已久的满足感，整体语气兴奋而积极，表达了对“空子”来到河南的欢迎与喜悦之情。
曜月,好棒好棒好幸福\(//∇//)\ヾ ^_^♪,好棒好棒好幸福 ヾ _,幸福,1,评论中使用了“好棒好棒好幸福”等重复的积极词汇，并辅以颜文字表达兴奋与满足感，整体情感强烈且明确地表达了喜悦和正面情绪。
皮特托先生,洛阳人狂喜,洛阳人狂喜,洛阳人 狂喜,1,评论中“狂喜”一词表达了强烈的喜悦和兴奋情绪，体现了对洛阳相关内容的积极认同和自豪感，整体情感倾向明显为正面。
momo,所有人，拿出智能手机打开12306，出发去洛阳看灯,所有人 拿出智能手机打开 出发去洛阳看灯,所有人 拿出 智能手机 打开 出发 洛阳 看灯,1,评论中“出发去洛阳看灯”表达了积极的行动意愿和期待感，整体语气充满活力和向往，体现了对活动的热情参与倾向。
糖炒栗栗子,洛阳人狂喜,洛阳人狂喜,洛阳人 狂喜,1,该评论使用“狂喜”这一强烈积极的词汇，直接表达了作为洛阳人的兴奋与喜悦之情，情感倾向明确为正面。
手可摘星辰,一个夏天去过洛阳的小女孩已经轻轻碎了,一个夏天去过洛阳的小女孩已经轻轻碎了,夏天 去过 洛阳 小女孩 轻轻,-1,评论中“轻轻碎了”使用了网络流行语，暗示内心破碎或极度失望的情感状态，结合“去过洛阳的小女孩”这一具体情境，表达了一种怀旧或感伤的情绪，整体带有明显的负面情感倾向。
追逐云中的那条龙,啊啊啊啊啊啊啊是我们洛阳！！！,啊是我们洛阳,洛阳,1,评论中“啊是我们洛阳”使用了亲切的“我们”一词，表达了对洛阳的归属感和自豪感，整体情感倾向为正面。
landscape,好棒,好棒,好棒,1,"该评论使用了""好棒""这一积极词汇，直接表达了对内容的赞赏和喜爱，情感倾向明确为正面。"
鲸天下云,和小回一起逛灯会啦！,和小回一起逛灯会啦,小回 一起 逛灯,1,评论中使用了“一起逛灯会”这样的积极表达，暗示了愉快的社交活动和节日氛围，整体语气轻松愉快，体现了对活动的喜爱和期待，情感倾向为正面。
雪无痕,支持非遗联动,支持非遗联动,支持 非遗 联动,1,该评论直接表达了对非遗联动的支持态度，使用“支持”这一明确积极的词汇，表明其认可和赞同的立场，整体情感倾向清晰为正面。
鲸天下云,非遗联动很棒诶,非遗联动很棒诶,非遗 联动 很棒,1,评论中使用了“很棒”这一明确表达赞赏的积极词汇，直接肯定了“非遗联动”这一内容，整体语气充满认可和喜爱，情感倾向明显为正面。
言词,支持这样的联动,支持这样的联动,支持 联动,1,该评论明确表达了“支持”的态度，使用了积极肯定的词汇，直接表明了对联动内容的认可和赞同，整体情感倾向清晰为正面。
77,应天门！天堂明堂！洛博！欢迎来洛阳玩！,应天门 天堂明堂 洛博 欢迎来洛阳玩,天门 天堂 明堂 洛博 欢迎 洛阳,1,该评论以热情友好的语气邀请他人来洛阳游玩，列举了应天门、天堂明堂、洛博等具体景点，带有明显的推广和欢迎意味，整体情感积极、正面。
星星在家,好有意义的联动，这种活动摩多摩多，非遗的老师们也辛苦啦,好有意义的联动 这种活动摩多摩多 非遗的老师们也辛苦啦,意义 联动 活动 多摩 非遗 老师 辛苦,1,评论中使用了“好有意义”、“摩多摩多”等积极表达，明确赞扬联动活动的价值，并表达对更多类似活动的期待。同时通过“辛苦啦”表达了对非遗老师的感谢与关怀，整体情感充满支持与赞赏。
槐序蝉鸣入深巷🍂,深空的非遗联动希望可以继续保持下去,深空的非遗联动希望可以继续保持下去,深空 联动 希望 继续 保持 下去,1,评论中使用了“希望可以继续保持下去”的表达，明确表达了对非遗联动活动的支持与期待，体现了积极的肯定态度，整体情感倾向为正面。
湫湫,我家就在洛阳,我家就在洛阳,我家 洛阳,0,该评论仅陈述了地理位置信息“我家就在洛阳”，没有表达任何情感色彩或主观评价，属于客观事实陈述，因此情感倾向为中性。
茄烧鱼子,正好年后打算去洛阳玩呢,正好年后打算去洛阳玩呢,正好 打算 洛阳,1,评论表达了年后计划去洛阳旅游的积极意愿，使用“正好”和“打算去玩”等词汇体现了期待和愉悦的心情，整体情感倾向为正面。
NGC2237_,寓意好棒！,寓意好棒,寓意 好棒,1,评论中使用了“好棒”这一积极词汇，直接表达了对寓意的赞赏和肯定，体现了明显的喜爱和满意情绪，整体情感倾向为正面。
一条努力上岸的小🐟,希望多多跟非遗联动，这样不仅可以宣传当地旅游，而且还能让不了解的人通过这种方式有初步了解，这个真的要夸夸！深空非遗这方面做的真的很好，不管是之前的敦煌联动，还是绣球，还是这次的灯笼，都做的很好！！！,希望多多跟非遗联动 这样不仅可以宣传当地旅游 而且还能让不了解的人通过这种方式有初步了解 这个真的要夸夸 深空非遗这方面做的真的很好 不管是之前的敦煌联动 还是绣球 还是这次的灯笼 都做的很好,希望 多多 联动 宣传 当地 旅游 了解 方式 初步 了解 夸夸 深空 非遗 这方面 之前 敦煌 联动 绣球 这次 灯笼,1,该评论使用了“真的要夸夸”、“做的真的很好”等积极词汇，表达了对深空公司非遗联动活动的明确赞赏。评论者不仅肯定联动本身，还从宣传旅游和文化普及的角度阐述了其积极意义，整体情感倾向非常积极正面。
红细胞,可不可以活动结束之后把做的灯笼当做装饰摆在牵绊界面呀,可不可以活动结束之后把做的灯笼当做装饰摆在牵绊界面呀,可不可以 活动 结束 之后 灯笼 当做 装饰 摆在 牵绊 界面,1,评论以询问方式表达了希望将活动灯笼作为装饰保留的愿望，使用“可不可以”等礼貌用语，并提及“牵绊界面”这一游戏元素，体现了对游戏内容的喜爱和期待，整体情感积极。
limonium,这样的联名才有意义,这样的联名才有意义,联名 意义,1,评论中“才有意义”表达了对联名活动的肯定和赞赏，暗示其认为该联名具有价值或积极影响，整体情感倾向为正面。
北冥,加油啊空空,加油啊空空,加油 空空,1,"该评论使用了""加油""这一鼓励性词汇，表达了对""空空""的支持与期待，整体情感倾向积极向上，属于正面评价。"
犯困嫌疑人,啊啊啊啊啊啊居然和我的家乡联动啦，阿空好样的,啊居然和我的家乡联动啦 阿空好样的,居然 家乡 联动 阿空 好样,1,评论中“好样的”是明确的赞扬表达，结合“和我的家乡联动”这一令人惊喜的事件，整体传递出兴奋、自豪与赞赏的积极情绪。
你那杯648,wk我前几天才去了洛阳,wk我前几天才去了洛阳,wk 我前 几天 洛阳,0,该评论仅陈述了“前几天去了洛阳”这一事实，没有表达明显的积极或消极情绪，属于中性陈述，不带有情感倾向。
捡垃圾为生,去不去,去不去,去不去,0,该评论仅表达了对是否参与某事的简单询问，没有使用任何情感倾向明显的词汇，也没有表达出积极或消极的态度，因此属于中性评论。
北冥,厉害,厉害,厉害,1,该评论使用“厉害”这一积极词汇，表达了对事物或人物的高度赞赏和肯定，体现了明显的正面情感倾向。
好想吃软饭,这样的联动多来点！,这样的联动多来点,联动 多来点,1,评论表达了“多来点”的明确期待和肯定态度，体现了对联动内容的喜爱和支持，整体情感积极正面。
好吃爱吃我要多吃,超级好看啊啊啊啊啊啊，阿空棒棒的,超级好看啊 阿空棒棒的,超级 好看 阿空 棒棒,1,评论中使用了“超级好看”和“棒棒的”等强烈积极的词汇，直接表达了对“阿空”的赞赏和喜爱，整体情感倾向明显为正面。
虎皮仓鼠。,好美,好美,好美,1,该评论使用了“好美”这一积极赞美词汇，表达了对内容或事物的欣赏与喜爱，情感倾向明显为正面。
momo,和黎深一起过年,和黎深一起过年,黎深 一起 过年,1,该评论表达了与角色“黎深”一起过年的期待和喜悦，使用“一起过年”这一温馨场景描述，隐含对角色和游戏内容的喜爱与亲近感，整体情感积极正面。
小曲亦未寝,好有意义！,好有意义,意义,1,"该评论使用了""好有意义""这一积极表达，直接传递出对事物价值的肯定和赞赏，体现了明确的正面情感倾向。"
蛙几豆,好漂亮...😮,好漂亮,漂亮,1,该评论使用了“好漂亮”这一积极词汇，直接表达了对事物的赞美和喜爱，情感倾向明确为正面。
Sylvia,好漂亮啊,好漂亮啊,漂亮,1,"评论中使用了""好漂亮""这一明确的赞美性词汇，直接表达了欣赏和喜爱的积极情感，整体情感倾向为正面。"
小雨天气,哇！想起了辛弃疾的青玉案。东方夜放花千树，更吹落，星如雨。宝马雕车香满路。凤箫声动，玉壶光转，一夜鱼龙舞。蛾儿雪柳黄金缕，笑语盈盈暗香去。众里寻他千百度。蓦然回首，那人却在，灯火阑珊处！,哇 想起了辛弃疾的青玉案 东方夜放花千树 更吹落 星如雨 宝马雕车香满路 凤箫声动 玉壶光转 一夜鱼龙舞 蛾儿雪柳黄金缕 笑语盈盈暗香去 众里寻他千百度 蓦然回首 那人却在 灯火阑珊处,想起 辛弃疾 青玉案 东方 夜放花 千树 更吹落 星如雨 宝马 雕车 香满路 箫声 玉壶 光转 一夜 龙舞 蛾儿 雪柳 黄金 笑语 盈盈 暗香 众里 千百度 蓦然回首 那人 灯火阑珊,1,该评论引用了辛弃疾《青玉案·元夕》的经典词句，通过“花千树”、“星如雨”、“宝马雕车”等华丽意象，营造出对美好场景的赞叹与追忆氛围，表达了对所描述内容的欣赏与共鸣，整体情感倾向为正面。
求你收我物吧,真的很好看！！,真的很好看,好看,1,"评论中使用了""真的很好看""这一明确表达喜爱的积极词汇，直接表达了对内容的赞赏和肯定，整体情感倾向明显为正面。"
山的北北子,好好看,好好看,好好看,1,该评论使用了“好好看”这一积极表达，直接表达了对内容的喜爱和赞赏，情感倾向明确为正面。
71%,多出国风联名！,多出国风联名,出国 联名,1,该评论表达了希望增加国风联名内容的愿望，使用“多出”这一积极词汇体现了对国风元素的喜爱和支持，整体情感倾向为正面。
扶光,过年的氛围拿捏了,过年的氛围拿捏了,过年 氛围 拿捏,1,评论中“拿捏了”是网络流行语，表示精准掌握或做得很好，搭配“过年的氛围”这一积极主题，整体表达了对节日气氛营造的认可和赞赏，情感倾向明确为正面。
追风筝,这个好好看,这个好好看,好好看,1,评论中使用了“好好看”这一积极表达，直接表达了对事物的喜爱和赞赏，体现了明显的正面情感倾向。
